Job-Title,Company Name,Segmentation,Skills they are looking for,Date Posted
Java Full Stack Developer,Solugenix India Private Limited,Information Technology,"['IT', 'SkillsJavaTestingJavascriptAWSIT', 'servicesBackendCoding']",3 Days Ago
Microsoft Active Directory Federation Services (ADFS),Accenture Solutions Pvt Ltd,Information Technology,"['IT', 'SkillsJavaHTMLChange', 'managementLDAPXMLMISConsulting']",4 Days Ago
Consultant / Sr. Consultant,"CDK GLOBAL, LLC.",Information Technology,"['IT', 'SkillsPythonSoftware', 'DevelopmentJavascriptSalesforceLinuxJavascriptFlex']",3 Days Ago
Application PEN Tester,"CDK GLOBAL, LLC.",Information Technology,"['IT', 'SkillsTestingAngularjsNode.jsCSSJavascriptAWSAzure']",3 Days Ago
Member Technical - .Net Fullstack,CDK GLOBAL (INDIA) PRIVATE LIMITED,Information Technology,"['LINQNoSQLMember', 'TechnicalAgileHTMLMVCmicrosoftDigital', 'marketing']",4 Days Ago
Consultant / Sr. Consultant,CDK GLOBAL (INDIA) PRIVATE LIMITED,Information Technology,"['IT', 'SkillsPythonSoftware', 'DevelopmentJavascriptSalesforceLinuxJavascriptFlex']",4 Days Ago
Application PEN Tester,CDK GLOBAL (INDIA) PRIVATE LIMITED,Information Technology,"['IT', 'SkillsTestingCodingConsultingManager', 'TechnologyApplication', 'securitySecurity', 'trainingDigital', 'marketing']",4 Days Ago
Manager-Clinical Science,Omics Group,Information Technology,"['IT', 'SkillsProject', 'ManagementBPOproject', 'managementmanagementPharmaAnalyticalProject', 'management']",5 Days Ago
Manager-Physics,Omics Group,Information Technology,"['IT', 'SkillsProject', 'ManagementBPOproject', 'managementTrainingExecutiveFinancial', 'reportingmanagement']",5 Days Ago
Java - Principal Consultant,"CDK GLOBAL, LLC.",Information Technology,"['IT', 'SkillsJavaAngularjsJavascriptHibernateXMLOOADJavascript']",9 Days Ago
Senior Java Developer,CDK GLOBAL (INDIA) PRIVATE LIMITED,Information Technology,"['TrainingExcelDigital', 'marketingInformation', 'technologyAutomotiveInvestment']",10 Days Ago
RPA Sr Developer,Solugenix India Private Limited,Information Technology,"['IT', 'servicesProcess', 'automationAnalytical', 'skillsAutomationStaffingProcess', 'documentationManager', 'TechnologyProcess', 'development']",10 Days Ago
Urgent opening with an MNC For CRM PowerApp For Hyderabad location,Future Focus Infotech Pvt. Ltd.,Information Technology,"['Dynamics', '365PowerappsIT', 'SkillsPower', 'BIAzureAzurePower', 'BiAzure', 'functions']",10 Days Ago
Senior Oracle DBA,Solugenix India Private Limited,Information Technology,"['Performance', 'tuningLinuxSolarisDatabase', 'administrationOracle', 'DBAPLSQLWindowsOracle']",10 Days Ago
Senior Business Systems Analyst,Solugenix India Private Limited,Information Technology,"['IT', 'SkillsDevOpsProject', 'ManagementRPABPOproject', 'managementSupply', 'chainIT', 'services']",10 Days Ago
Delphi Developer,CDK GLOBAL (INDIA) PRIVATE LIMITED,Information Technology,"['IT', 'SkillsCloudDevOpsNoSQLLinuxRDBMSWindowsLoad', 'balancing']",10 Days Ago
Pick Basic Developer,"CDK GLOBAL, LLC.",Information Technology,"['IT', 'SkillsPHPTrainingExcelPHPDigital', 'marketingInformation', 'technologyAutomotive']",10 Days Ago
Delphi Developer,"CDK GLOBAL, LLC.",Information Technology,"['IT', 'SkillsCloudDevOpsNoSQLLinuxRDBMSWindowsLoad', 'balancing']",10 Days Ago
Vendor Management (Contracts),"CDK GLOBAL, LLC.",Information Technology,"['TrainingContract', 'reviewAnalyticalDigital', 'marketingLicensingInformation', 'technologyAutomotiveBusiness', 'operations']",10 Days Ago
